status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,875000,2,2,,"301 Border St Unit 605, Boston, MA, 02128",301 Border St Unit 605,Boston,Massachusetts,2128,1003,
for_sale,1500000,9,3,0.09,"147 Hancock St, Boston, MA, 02125",147 Hancock St,Boston,Massachusetts,2125,3813,
for_sale,1499990,9,3,0.08,"65 Dix St, Boston, MA, 02122",65 Dix St,Boston,Massachusetts,2122,4176,
for_sale,6995000,3,5,,"1 Franklin St Unit 4702, Boston, MA, 02110",1 Franklin St Unit 4702,Boston,Massachusetts,2110,3172,
for_sale,975000,3,2,,"1692 Washington St Apt 2, Boston, MA, 02118",1692 Washington St Apt 2,Boston,Massachusetts,2118,1330,
for_sale,1500000,12,3,0.1,"125-127 Fuller St, Boston, MA, 02124",125-127 Fuller St,Boston,Massachusetts,2124,4362,
for_sale,959999,1,2,,"121 Portland St Unit 209, Boston, MA, 02114",121 Portland St Unit 209,Boston,Massachusetts,2114,1055,
for_sale,1500000,12,3,0.07,"1593-1595 Dorchester Ave, Boston, MA, 02122",1593-1595 Dorchester Ave,Boston,Massachusetts,2122,4080,
for_sale,659000,2,2,,"101 Condor St Ph 6, Boston, MA, 02128",101 Condor St Ph 6,Boston,Massachusetts,2128,929,
for_sale,2200000,3,3,,"290 North St Unit 2, Boston, MA, 02113",290 North St Unit 2,Boston,Massachusetts,2113,2206,
for_sale,1899000,2,2,,"136-140R Shawmut Ave Unit 3D, South End, MA, 02118",136-140R Shawmut Ave Unit 3D,South End,Massachusetts,2118,1727,
for_sale,1395000,2,2,,"45 A St Unit 2, Boston, MA, 02127",45 A St Unit 2,Boston,Massachusetts,2127,1572,
for_sale,799000,3,1,0.03,"705 Massachusetts Ave Apt 2, Boston, MA, 02118",705 Massachusetts Ave Apt 2,Boston,Massachusetts,2118,1149,
for_sale,1500000,14,3,0.08,"2 Browning Ave, Boston, MA, 02124",2 Browning Ave,Boston,Massachusetts,2124,4683,
for_sale,1500000,12,3,0.15,"113 Greenbrier St, Boston, MA, 02124",113 Greenbrier St,Boston,Massachusetts,2124,4662,
for_sale,1589900,2,2,,"100 Shawmut Ave Unit 206, Boston, MA, 02118",100 Shawmut Ave Unit 206,Boston,Massachusetts,2118,1347,
for_sale,869000,2,2,,"521 E 8th St Unit 1, Boston, MA, 02127",521 E 8th St Unit 1,Boston,Massachusetts,2127,1075,
for_sale,795000,1,2,,"771 Harrison Ave Unit 101, Boston, MA, 02118",771 Harrison Ave Unit 101,Boston,Massachusetts,2118,856,
for_sale,2995000,3,4,,"771 Harrison Ave Ph 7, Boston, MA, 02118",771 Harrison Ave Ph 7,Boston,Massachusetts,2118,3110,
